"channel_name","total_conversions","total_conversion_value"
"1",82.4194712997693,82.4194712997693
"20",432.267200010224,432.267200010224
"12",84.009073656364,84.009073656364
"14",63.602906125996,63.602906125996
"13",195.827370492725,195.827370492725
"3",123.458136577698,123.458136577698
"17",83.7968523358275,83.7968523358275
"6",63.2925103995604,63.2925103995604
"8",61.0991648402206,61.0991648402206
"10",209.435401317597,209.435401317597
"11",118.655233007661,118.655233007661
"16",158.703336166188,158.703336166188
"2",97.3449203499109,97.3449203499109
"4",222.989935909315,222.989935909315
"7",42.0686147338288,42.0686147338288
"5",82.0949666766775,82.0949666766775
"9",179.192981335105,179.192981335105
"15",70.3434315034793,70.3434315034793
"18",5.94983929404398,5.94983929404398
"19",15.4486539678077,15.4486539678077
